PRICE,TITLE,LOCATION,DETAILS,FEATURES,DESCRIPTIONS,IMAGE
1 200 TND,Studio Meublée Cité Ennasr,"Cité Ennasr 2, Ariana Ville","['64 m²', '1 Chambre', '1 Salle de bain']","['Terrasse', 'Ascenseur', 'Concierge', 'Salon européen', 'Antenne parabolique', 'Climatisation', 'Chauffage central', 'Sécurité', 'Double vitrage', 'Porte blindée', 'Cuisine équipée', 'Réfrigérateur', 'Four', 'TV', 'Machine à laver']","A LOUER S1 Meublée très haut standing à Cité Ennasr 2 dans un immeuble calme et sécurisé a 1200 DT y compris syndic .

Contact 22135639",
8 000 TND,Villa Usage Commercial ou Habitation,"Les Jardins d'El Menzah 2, Ariana Ville","['600 m²', '30 Chambres', '15 Salles de bains']","['Jardin', 'Garage', 'Concierge', 'Entre-seul', 'Antenne parabolique', 'Climatisation', 'Chauffage central', 'Sécurité', 'Double vitrage', 'Porte blindée', 'Cuisine équipée']","Jardin D'elmenzah  : UNE VILLA Usage BUREAUTIQUE  ou Habitation à Louer  à Jardin D'elmenzah  , sur un terrain de 600 M2 proche de toutes commodités .

Il se compose de :
- Trois Appartements de S3
- Un Appartement de S2
- un Appartement de S4
-Cave au sous sol
- studio pour gardien 
-Garage
- Debarat
- Jardin d'hier 
- Garage pour quatre voitures
- Jardin 
- Chauffage central 
- Climatisation
- Prix Loyer : 8000 TND

Contact :

 Téléphone  : 216...",
1 200 TND,S1 jamais Habiter cité Ennasr,"Cité Ennasr 2, Ariana Ville","['100 m²', '1 Chambre', '1 Salle de bain']","['Terrasse', 'Garage', 'Ascenseur', 'Concierge', 'Meublé', 'Antenne parabolique', 'Climatisation', 'Chauffage central', 'Sécurité', 'Double vitrage', 'Porte blindée', 'Cuisine équipée', 'Réfrigérateur', 'Four', 'TV', 'Machine à laver', 'Micro-ondes']","A LOUER S1Spacieux vide très haut standing jamais habité a Ennasr 2 dans un immeuble calme et sécurisé  a 1200 y compris syndic et place parking sous sol et syndic .

Contact 22135639

Pas D'agence ou intermédiaire SVP SVP",https://www.mubawab-media.com/ad/8/309/096F/h/657593950_1245507351101353_2911133361880781890_n_82214343.avif
1 700 TND,A louer S2 avec suite et parking Ss à Ennasr 2,"Cité Ennasr 2, Ariana Ville","['90 m²', '3 Pièces', '2 Chambres', '2 Salles de bains']","['Terrasse', 'Garage', 'Ascenseur', 'Concierge', 'Climatisation', 'Chauffage central', 'Sécurité', 'Double vitrage', 'Porte blindée', 'Cuisine équipée', 'Four', 'Animaux domestiques autorisés']","A louer à Ennasr 2, bel appartement S2 haut standing de 90 m² situé au rez de chaussée d’une résidence avec ascenseur. Il se compose 

d’un salon lumineux donnant sur un petit balcon, d’une cuisine aménagée et équipée avec séchoir, de 2 chambres à coucher, dont 

une suite parentale avec douche privée, et d’une salle de bain supplémentaire. Un cellier et une place de parking au sous-sol 

complètent le bien. Idéal pour ceux qui recherchent...",https://www.mubawab-media.com/ad/8/326/163F/h/thumb_1303689_property_large_82206966.avif
1 050 TND,A louer s1 très haut standing a ennasr,"Cité Ennasr 1, Ariana Ville","['55 m²', '1 Pièce', '1 Chambre', '1 Salle de bain']","['Terrasse', 'Ascenseur', 'Climatisation', 'Chauffage central', 'Sécurité', 'Cuisine équipée', 'Four']","a louer un appartement S1 dans une résidence gardéee et sécurisée, au 6ème étage avec double ascenseur. Cuisine équipée ( four, gaz, cuisinière), deux climatiseurs Split, un balcon, chauffage central .
Loyer : 1050d 

Pour plus d’informations veuillez nous contacter au 55 523 500   Référence du bien: Ref494a",https://www.mubawab-media.com/ad/8/325/262F/h/1000049875_82240395.avif
1 280 TND,Menzah 7 bis à louer s2,"El Menzah 7, Ariana Ville","['120 m²', '2 Pièces', '2 Chambres', '2 Salles de bains']","['Terrasse', 'Garage', 'Ascenseur', 'Chauffage central']","Agence immobilière kchaou propose à la location d un joli  appartement s2 vide au 3eme etage avec double ascenseur dans une résidence bien gardée composé:

d'un salon avec balcon 

2 chambres à coucher dont une avec dressing 

Cuisine avec séchoir

SDE 

SDB 

Chauffage central

Parking sous sol 

Loyer 1280 d /mois ycompris syndic

Contactez Agence Immobilière KCHAOU au 55 523 500

 

 

   Référence du bien: Ref34a",https://www.mubawab-media.com/ad/8/293/282F/h/photo_00_82094824.avif
1 500 TND,À Louer – Appart S3 Ennasr 2 coté mosquée,"Cité Ennasr 2, Ariana Ville","['100 m²', '4 Pièces', '3 Chambres', '1 Salle de bain']","['Terrasse', 'Garage', 'Ascenseur', 'Concierge', 'Climatisation', 'Chauffage central', 'Cuisine équipée']","A Louer, appartement S3  à Ennasr 2 situé dans une résidence avec ascenseur, offrant confort et luminosité.

Il se compose d’un  salon spacieux donnant sur une terrasse avec vue dégagée, de trois chambres, d'une cuisine spacieuse avec séchoir ainsi que d’une salle de bain.

L’appartement est équipé d’un chauffage central et d’une climatisation en split system.

Une place de parking et un Cellier sont également inclus",https://www.mubawab-media.com/ad/8/321/735F/h/thumb_1298767_property_xlarge_82157838.avif
Prix à consulter,Le projet immobilier Résidence Emna,"Cité el Ghazela, Raoued","['Haut standing', 'Finalisé']","['Jardin', 'Garage', 'Climatisation', 'Chauffage central', 'Sécurité', 'Double vitrage', 'Porte blindée', 'Cuisine équipée']","le projet immobilier résidence emna est situé à la cité el ghazela au gouvernorat de l'ariana à proximité du pôle technologique.
les locaux commerciaux de la résidence bénéficient de de tous les avantages",https://www.mubawab-media.com/ad/8/218/174F/h/273055825_495800278800724_8852331637667880814_n_81050331.avif
4 000 TND,Location Villa à Usage Bureautique El Menzah 6,"El Menzah 6, Ariana Ville","['300 m²', '7 Pièces', '6 Chambres', '2 Salles de bains']","['Terrasse', 'Garage', 'Meublé']","Confort Immo vous propose à la location une villa de caractère, parfaitement adaptée à un usage professionnel, idéalement située à El Menzah 6, dans un emplacement stratégique alliant accessibilité et image de marque.

Implantée sur un terrain de 600 m² et développant 300 m² bâtis, cette propriété offre des espaces fonctionnels, lumineux et parfaitement adaptés aux besoins d’une entreprise exigeante.

Distribution :

* Rez-de-chaussée :
Un...",https://www.mubawab-media.com/ad/8/318/365F/h/IMG_8706%20-%20Copie%20-%20Copie_82124758.avif
3 300 TND,Location penthouse meublée a ennasr 2,"Cité Ennasr 2, Ariana Ville","['250 m²', '5 Pièces', '3 Chambres', '2 Salles de bains']","['Garage', 'Chambre rangement', 'Salon européen', 'Antenne parabolique', 'Climatisation', 'Chauffage central', 'Double vitrage', 'Cuisine équipée']","A la location un penthouse meublée a Ennasr 2 , il est configuré en une suite parentale   2 chambres a couchers salle de bain JACCUZI et douche italienne, grand dressing. 
Une 2 eme chambre avec placard . Une 2éme salle de bain, 
Une grande cuisine donnant sur la terrasse 
Une buanderie 
Un salon et salle à manger très grand donnant aussi sur la terrasse 
Le tout meuble avec des meubles de luxe modernes et raffinés importés d’Italie 
L’appa...",https://www.mubawab-media.com/ad/8/310/123F/h/WhatsApp%20Image%202026-02-27%20at%2013.10.46%20%285%29_82036064.avif
2 200 TND,A LOUER: superbe dublex à Menzah6,"El Menzah 6, Ariana Ville","['180 m²', '7 Pièces', '4 Chambres', '3 Salles de bains']","['Terrasse', 'Ascenseur', 'Climatisation', 'Chauffage central', 'Cuisine équipée']","À louer : Superbe duplex à Menzah 6 (UV4)  
 1er étage :
 • Deux salons spacieux et lumineux
 • Cuisine équipée 
 • Salle de bain 
2ème étage :
 • Suite parentale
 • Deux chambres à coucher
 • Salon
 • Salle de bain
Équipements :
 • Chauffage central 
 • Climatisation
 • Place de parking
Loyer : 2 100 DT / mois
Agence Indeed Immobilier
Pour plus d’informations, veuillez contacter le 26 45 42 66",https://www.mubawab-media.com/ad/8/318/862F/h/thumb_729503_property_large_82129667.avif
1 600 TND,S3 à louer à Ennasr 2,"Cité Ennasr 2, Ariana Ville","['140 m²', '4 Pièces', '3 Chambres', '2 Salles de bains']",['Chauffage central'],"Cet appartement en S2 est situé dans un quartier résidentiel à Ennasr 2 coté lycée, au 2ème étage dune petite résidence en R2.

Lentrée ouvre sur la partie jour, qui comprend une cuisine entièrement équipée et aménagée, dotée dune grande terrasse, ainsi quun salon lumineux.

La partie nuit se compose d'une suite parentale avec dressing et une salle de bain indépendante et de deux chambres à coucher avec dressings, se partageant une salle de b...",https://www.mubawab-media.com/ad/8/332/420F/h/1_82273075.avif
650 TND,A louer appartement s0 a riadh el andalous,"Riadh al Andalous, Ariana Ville","['55 m²', '1 Pièce', '1 Chambre', '1 Salle de bain']",['Climatisation'],"Agence immobilière KCHAOU met à la location un joli appartement s0 près carrefour market 
chauffage central et climatiseur 
Contactez Agence Immobilière KCHAOU au 55 523 500",https://www.mubawab-media.com/ad/8/330/730F/h/669099593_1450645530094202_8337151498937426067_n_82255909.avif
1 100 TND,A louer appartement s4 a riadh el andalous,"Riadh al Andalous, Ariana Ville","['110 m²', '4 Pièces', '4 Chambres', '1 Salle de bain']","['Jardin', 'Terrasse', 'Garage', 'Chambre rangement', 'Climatisation', 'Chauffage central', 'Cuisine équipée']","Appartement à louer, s4 (salle de bain et une salle d'eau), situé au premier étage dans une résidence bien située a Riadh Landalous , Équipé d'un climatiseur.
Pour plus d’informations veuillez nous contacter au 55 523 500   Référence du bien: Ref493a",https://www.mubawab-media.com/ad/8/332/331F/h/4545a340-bee8-4f0a-b634-448299981a38_82272744.avif
1 250 TND,A louer s2 a jardin d'el menzah 2,"Les Jardins d'El Menzah 2, Ariana Ville","['90 m²', '2 Pièces', '2 Chambres', '1 Salle de bain']","['Terrasse', 'Façade extérieure', 'Antenne parabolique', 'Climatisation', 'Sécurité', 'Double vitrage', 'Porte blindée', 'Cuisine équipée']","La Méditerranée Immobilière Jardin d'el Menzah 2 vous propose à la location un magnifique appartement s2 à jardin d'el Menzah 2 au 1ere étage , Cet appartement moderne de 3 pièces offre un salon lumineux avec balcon, une cuisine équipée a l'américaine , 3 chambres à coucher avec dressing , une salle d'eau a l'italienne",https://www.mubawab-media.com/ad/8/332/278F/h/4e3c6b9c-51f9-4432-a3df-39fefad4b38c_82271853.avif
1 250 TND,À louer – Appartement S3 à Menzah 9,"Cité Ennasr 1, Ariana Ville","['155 m²', '4 Pièces', '3 Chambres', '2 Salles de bains']","['Terrasse', 'Garage', 'Ascenseur', 'Façade extérieure', 'Antenne parabolique', 'Climatisation', 'Chauffage central', 'Sécurité', 'Double vitrage', 'Cuisine équipée']","Situé à Menzah 9, à proximité du marché, dans un quartier vivant et pratique, cet appartement au 3ème étage offre confort et accessibilité au quotidien.

Superficie : spacieuse et bien agencée

Il se compose de :

Un salon lumineux et accueillant
Une cuisine fonctionnelle et bien aménagée
Trois chambres à coucher confortables
Une salle de bain
Une salle d’eau pour invités

À proximité de toutes les commodités : commerces, transports e...",https://www.mubawab-media.com/ad/8/332/267F/h/2_82271745.avif
1 450 TND,À louer – Appartement S3 à Ennasr 2,"Cité Ennasr 2, Ariana Ville","['150 m²', '4 Pièces', '2 Chambres', '3 Salles de bains']","['Terrasse', 'Garage', 'Façade extérieure', 'Antenne parabolique', 'Climatisation', 'Double vitrage', 'Porte blindée', 'Cuisine équipée']","L’agence Style Immobilière vous propose à la location un appartement S3 situé à Cité Ennasr 2, au 4ème étage d’une résidence sécurisée avec ascenseur.

Il dispose d’une place de parking au sous-sol et offre un cadre de vie confortable dans un quartier calme et recherché d’une superficie de 150 m²

Il se compose de :

Un grand salon et salle à manger
Une cuisine équipée avec éléments de rangement
Une salle de bain
Une salle d’eau
Trois g...",https://www.mubawab-media.com/ad/8/332/077F/h/IMG_3398_82269645.avif
2 500 TND,À louer – Étage de villa à Menzah 5,"El Menzah 5, Ariana Ville","['300 m²', '4 Pièces', '3 Chambres', '2 Salles de bains']","['Jardin', 'Terrasse', 'Ascenseur', 'Concierge', 'Salon européen', 'Climatisation', 'Chauffage central', 'Sécurité', 'Cuisine équipée']","Situé à Menzah 5, à proximité du café JAVA, dans un quartier stratégique et facilement accessible, cet étage de villa est idéal pour un usage bureautique ou toute activité professionnelle.

Superficie : 300 m²

Il se compose de :

Deux grands salons lumineux
Trois pièces pouvant servir de bureaux
Une cuisine bien équipée
Une salle de bain
Une salle d’eau
Un abri de voiture

Convient parfaitement pour cabinets, sociétés ou activités a...",https://www.mubawab-media.com/ad/8/332/064F/h/IMG_3403_82269496.avif
1 000 TND,A louer un appartement s1 à jardin d'el menzah2,"Les Jardins d'El Menzah 2, Ariana Ville","['80 m²', '2 Pièces', '1 Chambre', '1 Salle de bain']","['Terrasse', 'Ascenseur', 'Concierge', 'Meublé', 'Antenne parabolique', 'Climatisation', 'Chauffage central', 'Sécurité', 'Double vitrage', 'Cuisine équipée', 'Four', 'TV']","La méditerrané immobilière jardin d’El Menzah vous propose à la location un appartement lumineux et haut standing , cet appartement est situé dans une résidence calme et sécurisée à jardin el Menzeh2, il se compose d'un salon confortable s‘ouvre sur un balcon, une cuisine équipée séparré , une chambre à coucher avec dressing et une salle de douche . L‘appartement est munit d‘un chauffage central et climatisation",https://www.mubawab-media.com/ad/8/331/669F/h/187ef8e8-9dc8-4004-bb2b-da5b126a9142_3fbc82bd-685e-4b6b-ad26-96be7080d62d%20%281%29_82264931.avif
1 500 TND,À louer splus 1 très bon état à Ennasr2,"Cité Ennasr 2, Ariana Ville","['65 m²', '2 Pièces', '1 Chambre', '1 Salle de bain']","['Terrasse', 'Ascenseur', 'Concierge', 'Meublé', 'Antenne parabolique', 'Climatisation', 'Chauffage central', 'Sécurité', 'Double vitrage', 'Cuisine équipée', 'Réfrigérateur', 'Four', 'TV']","À louer Appartement splus1 meublé très bonne état à côté Clinique Amilcar 
Résidence avec vidéo surveillance",https://www.mubawab-media.com/ad/8/319/529F/h/IMG_8826_82136418.avif
1 500 TND,Location d'un appartement à Cité Ennasr 2.2 pièces confortab...,"Cité Ennasr 2, Ariana Ville","['65 m²', '2 Pièces', '1 Chambre', '1 Salle de bain']","['Concierge', 'Climatisation', 'Chauffage central', 'Sécurité']","À louer Appartement splus 1 meublé très bon état 
À Ennasr 2 proche Clinique Amilcar",https://www.mubawab-media.com/ad/8/292/173F/h/5_81844915.avif
1 200 TND,À louer un appartement s3 à Menzah 7,"El Menzah 7, Ariana Ville","['180 m²', '4 Pièces', '3 Chambres', '2 Salles de bains']","['Terrasse', 'Ascenseur', 'Concierge', 'Climatisation', 'Chauffage central', 'Sécurité', 'Double vitrage', 'Cuisine équipée', 'Micro-ondes']","La Méditerranée Immobilière vous propose à la location un spacieux appartement S3 d’une superficie de 180 m² situé au Menzah 7, offrant de beaux volumes et un cadre de vie agréable, idéal pour une famille, constituant ainsi une excellente opportunité dans un quartier recherché et proche de toutes les commodités",https://www.mubawab-media.com/ad/8/309/900F/h/1000087727_82033737.avif
1 100 TND,Un luxueux studio Ennasr,"Cité Ennasr 1, Ariana Ville","['65 m²', '2 Pièces', '1 Chambre', '1 Salle de bain']","['Terrasse', 'Ascenseur', 'Concierge', 'Meublé', 'Façade extérieure', 'Antenne parabolique', 'Climatisation', 'Chauffage central', 'Sécurité', 'Double vitrage', 'Porte blindée', 'Cuisine équipée', 'Réfrigérateur', 'Four', 'TV', 'Machine à laver', 'Internet']","A louer un appartement haut standing à Ennasr au premier étage avec ascenseurs, dans  , idéal pour un confort moderne :
 • Salon spacieux avec balcon
 • Kitchenette équipée
 • Chambre avec dressing
 • Salle de douche
 • Frais de syndic inclus
* Visite gratuite 
Pour plus d'infos merci de nous contacter: 53253255",https://www.mubawab-media.com/ad/8/314/405F/h/1000095189_82118179.avif
110 TND,Un luxueux appartement meublé,"Cité Ennasr 1, Ariana Ville","['90 m²', '2 Pièces', '1 Chambre', '1 Salle de bain']","['Terrasse', 'Garage', 'Ascenseur', 'Concierge', 'Meublé', 'Antenne parabolique', 'Climatisation', 'Chauffage central', 'Sécurité', 'Porte blindée', 'Cuisine équipée', 'Réfrigérateur', 'Four', 'TV', 'Machine à laver', 'Micro-ondes']","À louer un luxueux appartement meublé très haut standing  proche du clinique Amilcar à pied 3 minutes.
Appartement et meubles neufs 
Cuisine équipée et agencé 
Internet illimité 
Sécurité avec caméra de surveillance et gardien jour/ nuit 
Télévision Smart
Pour réservation merci de nous contacter au numéro suivant: 53253255
Watts up 0021653253255",https://www.mubawab-media.com/ad/8/331/154F/h/1000102207_82260039.avif
2 200 TND,À louer – Appartement meublé S2 à Cité Ennasr,"Cité Ennasr 2, Ariana Ville","['152 m²', '3 Pièces', '2 Chambres', '2 Salles de bains']","['Garage', 'Climatisation', 'Chauffage central', 'Cuisine équipée']","Appartement meublé S2 situé à Cité Ennasr, dans une résidence bien entretenue et de haut standing.
Il se compose d’un salon, de deux chambres à coucher, d’une cuisine entièrement équipée, d’une salle d’eau et d’une salle de bain.
L’appartement dispose du chauffage central, de climatiseurs et d’une place de parking au sous-sol.

Location annuelle
Idéal pour expatrié",https://www.mubawab-media.com/ad/8/331/153F/h/1000102106_82260010.avif
Prix à consulter,Ennasr 2 à Louer agréable appt S 4,"Cité Ennasr 2, Ariana Ville","['240 m²', '6 Pièces', '4 Chambres', '2 Salles de bains']","['Terrasse', 'Chauffage central']","ennassr 2 ; à louer joli appartement dans une résidence très bien gardée
composé de :
un salon salle à manger 
3 chambres à coucher
Suite parentale 
une cuisine équipée
sdb
sde
chauffage central
climatisation
parking
contactez agence building négoce : 50151839",https://www.mubawab-media.com/ad/8/331/152F/h/1000101276_82259967.avif
Prix à consulter,Ennasr 2 à Louer spacieux Étage de villa,"Cité Ennasr 2, Ariana Ville","['160 m²', '5 Pièces', '3 Chambres', '1 Salle de bain']","['Terrasse', 'Garage', 'Chauffage central', 'Cuisine équipée']","ennasr 2 ; à louer spacieux étage de villa avec entrée indépendante dans un quartier très calme 
composé de :
un salon salle à manger avec balcon 
3 chambres a coucher
une cuisine 
salle de bain
chauffage central
contactez agence building négoce : 50151839/90387171",https://www.mubawab-media.com/ad/8/331/067F/h/chambre_82259229.avif
Prix à consulter,Menzah 7 bis à Louer spacieux appt S4,"El Menzah 7, Ariana Ville","['206 m²', '6 Pièces', '4 Chambres', '3 Salles de bains']","['Terrasse', 'Chauffage central']","menzah 7 bis ; à louer spacieux appartement dans une résidence très bien située et bien gardée composé de :
un salon salle à manger avec balcon
Une suite parentale avec sdb
3 chambres à coucher 
sdb
sde
une cuisine bien équipée 
chauffage central
place de parking au sous-sol
contactez agence immobilière building négoce : 50151839/ 90387171",https://www.mubawab-media.com/ad/8/188/357F/h/gallery_80746781.avif
