PRICE,TITLE,LOCATION,DETAILS,FEATURES,DESCRIPTIONS,IMAGE
2 000 TND,Un luxueux et spacieux Appart S3 à louer à Sousse,"Bouhssina, Sousse Ville","['190 m²', '4 Pièces', '3 Chambres', '3 Salles de bains']","['Terrasse', 'Garage', 'Ascenseur', 'Concierge', 'Chambre rangement', 'Meublé', 'Salon européen', 'Antenne parabolique', 'Climatisation', 'Chauffage central', 'Sécurité', 'Double vitrage', 'Cuisine équipée', 'Réfrigérateur', 'Four', 'TV', 'Machine à laver', 'Micro-ondes', 'Animaux domestiques autorisés']","Appartement de Prestige - Très Haut Standing de type 3 richement meublé à Sousse
Découvrez ce joyau architectural alliant luxe, confort et modernité. Un espace de vie d’exception, entièrement paré de mobilier prestigieux.
Espace de Vie:
L'espace de jour, véritable cœur de la demeure, a été pensé pour offrir une expérience de vie fluide et lumineuse.
Le Salon &amp; Séjour
À l'entrée vous découvrirez un salon lumineux baigné dans une lumière natur...",
1 500 TND,A loué Rez de chaussée tout neuf,Sousse Ville,"['120 m²', '3 Pièces', '2 Chambres', '1 Salle de bain']","['Terrasse', 'Garage', 'Concierge', 'Chambre rangement', 'Antenne parabolique', 'Climatisation', 'Chauffage central', 'Sécurité', 'Double vitrage', 'Porte blindée', 'Cuisine équipée']","À louer, magnifique appartement S2 situé au rez-de-chaussée d’un petit immeuble de très haut standing, dans un quartier calme et recherché.
L’appartement est neuf, jamais habité, offrant des prestations modernes et des finitions de qualité supérieure. Il se compose d’un salon spacieux et lumineux grâce à de larges baies vitrées, de deux chambres à coucher confortables avec rangements, d’une cuisine moderne entièrement aménagée et équipée, ainsi...",
1 400 TND,A Loué Appartement Vue de Mer,Sousse Ville,"['150 m²', '4 Pièces', '3 Chambres', '2 Salles de bains']","['Terrasse', 'Ascenseur', 'Vue sur mer', 'Concierge', 'Façade extérieure', 'Salon européen', 'Antenne parabolique', 'Climatisation', 'Chauffage central', 'Sécurité', 'Double vitrage', 'Porte blindée', 'Cuisine équipée']","Superbe appartement S3 de haut standing situé au 5ᵉ étage d’une résidence moderne et sécurisée avec trois ascenseurs

Il offre une magnifique vue sur mer et un salon lumineux avec balcon panoramique

La cuisine est moderne et bien aménagée

L’espace nuit comprend trois chambres dont une suite parentale

L’appartement dispose également de deux salles de bain aux finitions soignées",
900 TND,A Loué S2 Jamais Habité,Sousse Ville,"['80 m²', '3 Pièces', '2 Chambres', '1 Salle de bain']","['Ascenseur', 'Concierge', 'Climatisation', 'Chauffage central', 'Sécurité', 'Double vitrage', 'Porte blindée', 'Cuisine équipée']","À Loué – Superbe Appartement S2 Neuf, Jamais Habité
Nous vous proposons ce splendide appartement S2, tout juste livré, jamais habité, offrant un cadre de vie alliant confort, modernité et praticité. Niché au sein d’une résidence neuve, sécurisée et bien entretenue, il bénéficie d’un emplacement privilégié dans un quartier résidentiel calme, proche de toutes les commodités (écoles, commerces, cliniques) ainsi que des principaux axes de transport...",https://www.mubawab-media.com/ad/8/155/915F/h/WhatsApp%20Image%202025-06-05%20at%2013.36.10%20%281%29_80455533.avif
850 TND,A Loué S3 Meublé,Sousse Ville,"['120 m²', '4 Pièces', '3 Chambres', '1 Salle de bain']","['Terrasse', 'Concierge', 'Meublé', 'Salon européen', 'Antenne parabolique', 'Climatisation', 'Chauffage central', 'Sécurité', 'Double vitrage', 'Porte blindée', 'Cuisine équipée', 'Réfrigérateur', 'Four', 'TV', 'Machine à laver']","À louer, appartement S3 entièrement meublé situé à Panorama, dans un quartier agréable et recherché. Il se compose d’un salon spacieux et lumineux, de trois chambres à coucher confortables, d’une cuisine équipée ainsi que d’une salle de bain. Le bien est soigneusement aménagé et prêt à être habité. Proche de toutes les commodités, cet appartement est idéal pour une famille à la recherche de confort et de praticité",https://www.mubawab-media.com/ad/8/325/407F/h/e2747c87-8bba-4f15-a37c-2f13dbf3b7d4_82199189.avif
700 TND,À LOUER – Appartement S2 meublé,Sousse Ville,"['60 m²', '3 Pièces', '2 Chambres', '1 Salle de bain']","['Terrasse', 'Concierge', 'Meublé', 'Façade extérieure', 'Climatisation', 'Chauffage central', 'Sécurité', 'Cuisine équipée']","Réf : 570a
L’agence Immobilière Riahi vous propose à la location un appartement S2 entièrement meublé, idéalement situé au centre-ville de Sousse, à deux pas de la célèbre plage de Boujaafar.
Emplacement stratégique : proche de toutes commodités, commerces, cafés et restaurants.  Appartement prêt à habiter, offrant confort et praticité au quotidien. Prés Institut des Beaux-Arts",https://www.mubawab-media.com/ad/8/306/462F/h/50%20232%20727%20%2812%29_81998135.avif
1 850 TND,Appartement s2 non meublé sur la zone touristique,Sousse Ville,"['2 Pièces', '2 Chambres', '2 Salles de bains']","['Terrasse', 'Garage', 'Ascenseur', 'Vue sur les montagnes', 'Meublé', 'Climatisation', 'Chauffage central', 'Sécurité', 'Cuisine équipée']","Dahmen Immobilier lance pour une location annuelle , un appartement parfaitement non meublé occupe le 3em étage d'une résidence calme , bien sélectionnée et proche de toutes commodités nécessaires . A l’entrée, vous disposerez d’un chic salon avec un balcon bien ensoleillée grâce à sa bonne orientation , une moderne cuisine parfaitement équipée et avec séchoir . La partie nuit dispose deux (02) chambres à couchers avec dressings et qui communique...",https://www.mubawab-media.com/ad/8/311/112F/h/thumb_65453_property_xlarge_82046654.avif
1 200 TND,Appartement s1 meublé à Sousse,"Sousse Corniche, Sousse Ville","['1 Pièce', '1 Chambre', '1 Salle de bain']","['Jardin', 'Terrasse', 'Garage', 'Ascenseur', 'Salon européen', 'Climatisation', 'Chauffage central', 'Sécurité', 'Double vitrage', 'Cuisine équipée', 'Réfrigérateur', 'Four', 'TV', 'Machine à laver', 'Micro-ondes']","A LOUER : Un appartement meublé situé sur la route touristique - Sousse . L'appartement est de : Typologie : S1 Location : Annuelle Prix de loyer : 1200 dt Emplacement : à proximité de toutes commodités nécessaires ... Détails : Le salon est équipé de deux canapés avec un TV plasma et une table basse. La cuisine est à l’américaine et complètement agencée et très bien équipée. La chambre à coucher dispose d'un lit double place, un dressing pour ra...",https://www.mubawab-media.com/ad/8/058/174F/h/thumb_60402_property_xlarge_79439859.avif
2 200 TND,Rez de Chaussée de Villa Meublé,"Bouhssina, Sousse Ville","['200 m²', '5 Pièces', '3 Chambres', '3 Salles de bains']","['Jardin', 'Terrasse', 'Garage', 'Chambre rangement', 'Meublé', 'Salon européen', 'Antenne parabolique', 'Cheminée', 'Climatisation', 'Chauffage central', 'Sécurité', 'Double vitrage', 'Porte blindée', 'Cuisine équipée', 'Réfrigérateur', 'Four', 'TV', 'Machine à laver', 'Micro-ondes', 'Internet', 'Animaux domestiques autorisés']","A louer Rez de chaussé de Villa Haut Standing Meublé à Sousse Bouhacina ,Proche école Française dans Quartier Résidentiel, Une entrée principale ouvrant sur un Vaste Salon donnant sur un Coin jardin, la partie jour est dotée d’un Salon embelli par une Cheminée, Salle à manger, un Bureau, Salle de douche, Cuisine agencée et équipée avec une Terrasse Spacieuse. La partie nuit Comprend deux suites spacieuses avec salles de bains et dressings. Le rez...",https://www.mubawab-media.com/ad/8/331/249F/h/WhatsApp%20Image%202026-04-10%20at%2014.43.18%20%281%29_82260899.avif
1 200 TND,Bel Appartement à louer à Sousse ville,"Sousse Medina, Sousse Ville","['115 m²', '2 Pièces', '2 Chambres', '1 Salle de bain']","['Salon européen', 'Cuisine équipée']","A louer Bel  appartement S2 au 9 éme étage, super endroit, situé au coeur de Sousse,
superbe vue de mer
proche des commerces(hôpital, centre madina…)
Prix 1200 DT / mois (syndic inclus)
 
Contactez-nous
Téléphone 55 444 010 /55 153 800
WhatsApp 55 444 010 /55 153 800
www.narjess-immo.tn",https://www.mubawab-media.com/ad/8/330/729F/h/thumb_1308749_property_large_82255841.avif
