PRICE,TITLE,LOCATION,DETAILS,FEATURES,DESCRIPTIONS,IMAGE
Prix à consulter,"A louer des Bureaux H2, H3 et H4 à Montplaisir","Montplaisir, Tunis","['70 m²', '3 Pièces', '2 Chambres', '2 Salles de bains']","['Garage', 'Ascenseur', 'Concierge', 'Climatisation', 'Sécurité', 'Double vitrage', 'Porte blindée', 'Internet']","En exclusivité, La Maison de l’Immobilier vous propose à la location des bureaux de type H2, H3 et H4 situés à Montplaisir.
Les superficies varient entre 44 m² et 80 m².

Les bureaux H2 disposent d’un hall de réception, de deux pièces, d’une kitchenette et d’une salle d’eau.
Les bureaux H3 comprennent un grand hall de réception, deux pièces, une kitchenette, une salle d’eau ainsi qu’un bureau de direction avec sa propre salle d’eau.
Les bure...",
700 TND,A louer appartement S2 à beb lkhadhra,"Bab El Khadra, Tunis","['70 m²', '3 Pièces', '2 Chambres', '1 Salle de bain']","['Terrasse', 'Chauffage central', 'Sécurité', 'Double vitrage', 'Porte blindée']","La Méditerranée Immobilière vous propose à la location un appartement S2, situé au 3éme étage sans ascenseur Beb El Khadhra. Il se compose d’un salon,  deux chambres à coucher, une cuisine avec éléments de rangement  et une salle de bain. L’appartement est équipé du chauffage central, gaz de ville et dispose d’un système de caméras de surveillance",
700 TND,A louer appartement S2 meblé au centre ville,"Bab Bhar, Tunis","['70 m²', '3 Pièces', '2 Chambres', '1 Salle de bain']","['Salon européen', 'Porte blindée', 'Cuisine équipée', 'Réfrigérateur', 'TV', 'Internet']","La Méditerranée immobilière vous propose à la location un appartement meublée s2, dans un immeuble à proximité de toutes les commodités au plein de Passage . Au RDC, comprenant un couloir et un salon , Il y a une cuisine, deux chambres à coucher, et une salle d'eau",
1 250 TND,S2 en location,"Tunis, Tunis",['120 m²'],"['Ascenseur', 'Climatisation', 'Chauffage central', 'Cuisine équipée', 'Four', 'Machine à laver']","Nous mettons en location un appartement de type S2 situé au sixième étage d’un immeuble avec ascenseur sur l’Avenue de Paris.Il se compose d’un salon spacieux, de deux chambres à coucher, d’une cuisine bien équipée comprenant une plaque de cuisson, une hotte, un four et une machine à laver, ainsi que d’une salle de bain.L’appartement est également équipé du gaz de ville, du chauffage central et de la climatisation en split. Pour plus d’informatio...",
850 TND,A louer à l'année studio meublé 25 m au Centre ville Tunis,"République, Tunis","['25 m²', '1 Pièce', '1 Chambre', '1 Salle de bain']","['Concierge', 'Meublé', 'Antenne parabolique', 'Climatisation', 'Porte blindée', 'Cuisine équipée', 'Réfrigérateur', 'Four', 'TV', 'Machine à laver', 'Micro-ondes', 'Internet']","En exclusivité, la maison de l'immobilier vous propose la location d'un studio rénové, richement meublé, situé à l'avenue Habib Bourguiba Centre Ville Tunis.

Il occupe le 4 ième étage d'une résidence sans ascenseur.

L'entrée donne sur la pièce de vie lumineuse équipée par un canapé lit, une armoire, un réfrigérateur, un four-micro-one, des vaisselle, une télé, un climatiseur; machine à café, lave-linge semi automatique, wifi et d'autres équ...",
1 750 TND,A louer appartement s2 meublé à Tunis,"République, Tunis","['100 m²', '3 Pièces', '2 Chambres', '1 Salle de bain']","['Terrasse', 'Meublé', 'Climatisation', 'Chauffage central', 'Sécurité', 'Porte blindée', 'Cuisine équipée', 'Réfrigérateur', 'Four', 'TV', 'Machine à laver', 'Internet']","La Méditerranée immobilière vous propose à la location un appartement s2 luxueusement meublé situé dans un immeuble proche de toute les commodités , l’appartement est composé d’un grand salon, deux chambres à coucher , salle d'eau avec cabine de douche ,une cuisine aménagée et totalement équipée . chauffage central et climatiseurs sont disponibles .",
1 000 TND,A louer appartement S3 au centre ville,"Bab Bhar, Tunis","['133 m²', '3 Pièces', '3 Chambres', '1 Salle de bain']","['Terrasse', 'Cheminée']","la Méditerranée immobilière vous propose à location un appartement s3 au 2éme étage près de toutes commodités, au centre ville Tunis . Il se compose d'un salon lumineux avec cheminée ,trois chambres spacieuse avec balcon elles se partagent une salle d'eau et une cuisine",
Prix à consulter,Résidence FLAVA aux Jardin de Carthage,"Les Jardins de Carthage, Le Kram","['Haut standing', 'En cours de construction', 'Livraison:\n\t\t\t\t\t\t\t\t\t\tmars 2028']","['Terrasse', 'Meublé']","installée au cœur du prestigieux lotissement résidences du parc, dans le quartier prisé des jardins de carthage, flava résidences vous offre un équilibre parfait entre effervescence urbaine et",
650 TND,Appartement à louer centre ville tunis,"Bab Bhar, Tunis","['50 m²', '3 Pièces', '2 Chambres', '1 Salle de bain']","['Terrasse', 'Entre-seul', 'Cuisine équipée']","A louer appartement meublé au cœur du centre ville 
2pas de lav habib bourguiba Tunis 
2grandes chambres séparée cuisine salle de bain 
2balcons bien orienté prpopre dans un immeuble ancien.
Disponible fin avril",
800 TND,Etage independant au centre ville,"Bab Jazira, Tunis","['100 m²', '3 Pièces', '2 Chambres', '1 Salle de bain']",['Internet'],"ETAGE MAISON INDEPENDANT, BIEN AEREE, AU CENTRE VILLE DE TUNIS, SE COMPOSE D'UNE ENTREE HALL, SALON, DEUX CHAMBRES A COUCHER AVEC CLIMATISEURS, CUISINE EQUIPEE PLAQUE, SALLE DE BAIN ET ACCES LIBRE A GRANDE TERRASSE PLEIN CIEL. (CHAUFFE EAU ET GAZ DE VILLE DISPONIBLE)",
