PRICE,TITLE,LOCATION,DETAILS,FEATURES,DESCRIPTIONS,IMAGE
239 000 TND,Vente d'un bel appartement à Sfax Ville REF C29,Sfax Ville,"['125 m²', '3 Pièces', '2 Chambres', '1 Salle de bain']","['Terrasse', 'Garage', 'Ascenseur', 'Concierge', 'Antenne parabolique', 'Climatisation', 'Chauffage central', 'Sécurité', 'Double vitrage', 'Porte blindée', 'Cuisine équipée']",Un bel appartement a saisir composé de S2 avec  balcon avec une superficie totale de 125 m²,
442 000 TND,S3 Direct promoteur Sfax,"Route Teniour, Sfax Ville","['138 m²', '3 Chambres', '2 Salles de bains']","['Jardin', 'Terrasse', 'Garage', 'Ascenseur', 'Piscine', 'Concierge', 'Salon européen', 'Antenne parabolique', 'Climatisation', 'Chauffage central', 'Sécurité', 'Double vitrage', 'Porte blindée', 'Cuisine équipée', 'Four']","Résidence le Palais séduit par son design raffiné et ses lignes modernes, Route Teniour KM3 Dans une quartier très Chic et Calme
Conçue pour offrir un équilibre parfait entre esthétique.
fonctionnalité et bien-être, elle incarne une nouvelle façon d'habiter ,Sobre, élégante et durable.   
Résidence R plus 4 de 22 Appartements et 3 Duplexes et 2 penthouses avec piscine. Salle de Sport Collectif .
Les Surfaces Des S2 à partir de 87m2 les prix à par...",
280 000 TND,S2 Neuf Direct promoteur Sfax,"Route Teniour, Sfax Ville","['88 m²', '2 Chambres', '2 Salles de bains']","['Jardin', 'Terrasse', 'Garage', 'Ascenseur', 'Vue sur mer', 'Piscine', 'Concierge', 'Façade extérieure', 'Salon européen', 'Antenne parabolique', 'Climatisation', 'Chauffage central', 'Sécurité', 'Double vitrage', 'Porte blindée', 'Cuisine équipée', 'Four']","Résidence le Palais séduit par son design raffiné et ses lignes modernes, Route Teniour KM3 Dans une quartier très Chic et Calme
Conçue pour offrir un équilibre parfait entre esthétique.
fonctionnalité et bien-être, elle incarne une nouvelle façon d'habiter ,Sobre, élégante et durable.   
Résidence R plus 4 de 22 Appartements et 3 Duplexes et 2 penthouses avec piscine. Salle de Sport Collectif .
Les Surfaces Des S2 à partir de 87m2 les prix à par...",https://www.mubawab-media.com/ad/8/242/548F/h/photo_0_81307716.avif
800 000 TND,Duplexe Neuf Direct promoteur Sfax,"Route Teniour, Sfax Ville","['239 m²', '3 Chambres', '3 Salles de bains']","['Jardin', 'Terrasse', 'Garage', 'Ascenseur', 'Concierge', 'Chambre rangement', 'Salon européen', 'Antenne parabolique', 'Climatisation', 'Chauffage central', 'Sécurité', 'Porte blindée', 'Cuisine équipée', 'Four']","Vente d'une villa d'exception. Prix 800 000 TND. 3 chambres, 3 salles de bains, 239 m². Moins de 5 ans. Revêtement: Parquet. Équipé d'une antenne parabolique et d'une porte blindée. La résidence est sécurisée.

Cette superbe villa est en vente à Route Teniour. Dispose d'une terrasse, ascenseur et places de parking. Nombreux équipements dont climatisation. La résidence dispose également d'un service de conciergerie.

Contactez-nous si vous êtes in...",https://www.mubawab-media.com/ad/8/309/948F/h/gallery%20%281%29_82034299.avif
272 000 TND,S3 directe promoteur en vente,"Route sokra, Sfax Ville","['144 m²', '1 Pièce', '3 Chambres', '2 Salles de bains']","['Terrasse', 'Ascenseur', 'Chauffage central', 'Sécurité', 'Cuisine équipée', 'Four']","Cet appartement S3 directe promoteurest situé dans une résidence sécurisée à route mharza

L’entrée dépend d’une pièce de vie lumineux qui s’ouvre sur un balcon.

Une suite parentale équipée de sa propre salle de bain.

Le compartiment nuit se compose de deux chambres à coucher dont une chambre avec un dressing qui se partagent une salle de bain commune.

Un point d’eau pour invité est disponible.

La cuisine est équipée par les élément...",https://www.mubawab-media.com/ad/8/309/937F/h/gallery_82034214.avif
205 000 TND,Un étage de villa destiner pour la vente,"Route sokra, Sfax Ville","['100 m²', '1 Pièce', '2 Chambres', '1 Salle de bain']","['Jardin', 'Garage', 'Cuisine équipée', 'Four']","Cet étage S2, doté d’une entrée indépendante, est situé dans un quartier résidentiel calme.


L’entrée donne sur une pièce de vie agréable et bien éclairée.

Le coin nuit comprend deux chambres à coucher qui se partagent une salle de bain commune.

La cuisine est équipée d’éléments de rangement, d’une plaque de cuisson, hotte et d’un four électrique , d’une qui s’ouvre sur un séchoir.

Un garage ainsi qu’un jardin privatif complètent ce...",https://www.mubawab-media.com/ad/8/309/945F/h/gallery%20%283%29_82034278.avif
530 000 TND,Villa individuelle en vente,"Route Manzel Chaker, Sfax Ville","['220 m²', '1 Pièce', '3 Chambres', '2 Salles de bains']","['Jardin', 'Piscine', 'Chambre rangement', 'Chauffage central', 'Sécurité', 'Cuisine équipée', 'Four']","Cette villa S3 est situé dans un quartier chic à route manzal chaker km 6.

L’entrée dépend d’une pièce de vie volumineuse qui peut aménager un salon.

Un séjour et un point d’eau pour invité complète la partie jour.

Une cuisine généreuse peut aménager une salle à manger équipé par une plaque et un four.

Le compartiment nuit se compose d’une suite parentale ainsi que de deux chambres à coucher, dont chacune peut être aménagée avec un dr...",https://www.mubawab-media.com/ad/8/330/411F/h/WhatsApp%20Image%202026-03-31%20at%2018.09.22_82252500.avif
95 000 TND,S2 a vendre,Sfax Ville,"['74 m²', '3 Pièces', '2 Chambres', '2 Salles de bains']",['Antenne parabolique'],"Appartement S2 à vendre – Route de Mharza Situé au sein d’une résidence familiale, calme et bien sécurisée, cet appartement de typologie S2 bénéficie d’un emplacement stratégique sur la route de Mharza, à seulement 0.5 km du centre-ville, dans un quartier purement résidentiel offrant un cadre de vie paisible et agréable.

Dès l’entrée, vous découvrirez un salon lumineux grâce à ses deux fenêtres offrant une belle luminosité naturelle tout au lo...",https://www.mubawab-media.com/ad/8/330/402F/h/2ff1ef87-8338-4243-aa89-982dced36ee6_82252440.avif
95 000 TND,S2 a vendre,Sfax Ville,"['80 m²', '3 Pièces', '2 Chambres', '1 Salle de bain']","['Terrasse', 'Antenne parabolique']","Appartement S2 à vendre

Situé au sein d’une résidence familiale, calme et bien sécurisée, cet appartement de type S2 bénéficie d’un emplacement stratégique, à seulement 0.5klm du centre-ville, dans un quartier résidentiel offrant un cadre de vie paisible et agréable.

Dès l’entrée, vous découvrirez un salon lumineux, agrémenté d’un balcon offrant une belle luminosité naturelle tout au long de la journée.

La partie nuit se compose de deux...",https://www.mubawab-media.com/ad/8/330/351F/h/a89ba1e9-1c92-4712-a397-441bbcdfc4df_82252022.avif
100 000 TND,Appartement s1 à vendre,Sfax Ville,"['75 m²', '2 Pièces', '1 Chambre', '1 Salle de bain']","['Concierge', 'Antenne parabolique', 'Climatisation', 'Cuisine équipée', 'Four']","Cet appartement S1 constitue une excellente opportunité, que ce soit pour un investissement locatif ou pour une habitation adaptée à une petite famille.

Il se distingue par un agencement optimisé, comprenant un salon lumineux, une cuisine fonctionnelle ainsi qu’une chambre confortable dotée de rangements intégrés.

Idéalement situé dans un quartier recherché, à proximité de toutes les commodités et bénéficiant d’une forte demande locative, c...",https://www.mubawab-media.com/ad/8/309/926F/h/b00194aa-657b-4616-b976-c1faa7212abe_82034094.avif
255 000 TND,"A vendre, appartement s3","Route Manzel Chaker, Sfax Ville","['100 m²', '1 Pièce', '3 Chambres', '1 Salle de bain']","['Garage', 'Ascenseur', 'Concierge', 'Chauffage central', 'Sécurité', 'Cuisine équipée', 'Four']","Cet appartement S3 est situé dans une résidence sécurisée à la Route de Manzel Chaker, km 4.

L’entrée donne sur une pièce de vie généreuse et lumineuse grâce à son excellente orientation.

Le compartiment nuit se compose d’une suite parentale ainsi que de deux chambres à coucher se partageant une salle de bain commune.

La cuisine, spacieuse et fonctionnelle, s’ouvre sur un séchoir. Elle est équipée d’une plaque de cuisson, d’une hotte asp...",https://www.mubawab-media.com/ad/8/309/414F/h/cfe845d0-a9c4-4e82-b669-b66871bfe4e0_82028830.avif
155 000 TND,S2 en vente,"Route sokra, Sfax Ville","['70 m²', '1 Pièce', '2 Chambres', '1 Salle de bain']","['Ascenseur', 'Cuisine équipée', 'Four']","Cet appartement S2 est situé sur la route de Mharza km 2.


L’entrée s’ouvre sur un salon lumineux.


La partie nuit se compose de deux chambres à coucher ainsi que d’une suite parentale, qui se partagent une salle de bain commune.


La cuisine est équipée d’une plaque, d’une hotte aspirante et d’un four électrique, et elle s’ouvre sur un séchoir",https://www.mubawab-media.com/ad/8/331/583F/h/thumb_1309181_property_xlarge_82264049.avif
260 000 TND,Un étage de villa destiner pour la vente,"El Bousten, Sfax Ville","['220 m²', '1 Pièce', '4 Chambres', '2 Salles de bains']","['Jardin', 'Terrasse', 'Cuisine équipée']","Cet étage de villa indépendant de 220 m² représente une opportunité rare dans un quartier résidentiel chic et recherché, à seulement 5 minutes du centre-ville. Alliant volumes généreux, confort et luminosité.

Ce bien offre un cadre de vie agréable et parfaitement adapté aux besoins d’une famille nombreuse ou d’un investisseur averti.

Il se compose d’un vaste salon lumineux ouvrant sur une agréable terrasse, de quatre chambres spacieuses don...",https://www.mubawab-media.com/ad/8/309/943F/h/gallery_82034261.avif
1 000 000 TND,Villa Sfax,"Route matar, Sfax Ville","['1000 m²', '6 Pièces', '6 Chambres', '2 Salles de bains']","['Garage', 'Chambre rangement']",villa sfax à vendre,https://www.mubawab-media.com/ad/8/309/420F/h/gallery%20%281%29_82028993.avif
275 000 TND,Maison à vendre Route gremda km 7 مركز سحنون,"Route gremda, Sfax Ville","['331 m²', '1 Pièce', '4 Chambres', '1 Salle de bain']","['Terrasse', 'Ascenseur', 'Chauffage central', 'Sécurité', 'Cuisine équipée', 'Four']","Maison à vendre
Prix: 275000 DT
Route gremda km 7à gauche 150m de la route principale
surface terrain : 331m²
surface bâtie: 170m²
se compose de:
Hall salon séjour 3 chambres à coucher  salle de bain  cuisine spacieuse
placard  garage avec kitchenette  gaz de ville ماجل
Titre arabe
Proche de toutes commodités(mosquée, magasin aziza ,café .. )
93308309-99016977",https://www.mubawab-media.com/ad/8/309/429F/h/gallery%20%286%29_82029446.avif
